word,year,count_year,count_other,tokens_year,tokens_other,freq_year_per1k,freq_other_per1k,G2,direction,p_label,significant
nature,2024,40,359,47798,336443,0.8369,1.067,2.268,-,not significant,False
performance,2024,21,474,47798,336443,0.4393,1.4089,39.656,-,p < 0.0001,True
plan,2024,45,386,47798,336443,0.9415,1.1473,1.66,-,not significant,False
planning,2024,66,694,47798,336443,1.3808,2.0628,10.851,-,p < 0.001,True
practice,2024,79,781,47798,336443,1.6528,2.3213,9.083,-,p < 0.01,True
practices,2024,62,381,47798,336443,1.2971,1.1324,0.951,+,not significant,False
process,2024,34,397,47798,336443,0.7113,1.18,9.26,-,p < 0.01,True
professional,2024,57,446,47798,336443,1.1925,1.3256,0.582,-,not significant,False
project,2024,178,1058,47798,336443,3.724,3.1447,4.184,+,p < 0.05,True
projects,2024,85,752,47798,336443,1.7783,2.2351,4.242,-,p < 0.05,True
public,2024,81,791,47798,336443,1.6946,2.3511,8.611,-,p < 0.01,True
resilience,2024,48,404,47798,336443,1.0042,1.2008,1.437,-,not significant,False
resources,2024,52,409,47798,336443,1.0879,1.2157,0.585,-,not significant,False
scale,2024,74,468,47798,336443,1.5482,1.391,0.713,+,not significant,False
science,2024,72,451,47798,336443,1.5063,1.3405,0.821,+,not significant,False
site,2024,133,740,47798,336443,2.7825,2.1995,5.901,+,p < 0.05,True
social,2024,148,1155,47798,336443,3.0964,3.433,1.435,-,not significant,False
society,2024,98,604,47798,336443,2.0503,1.7953,1.441,+,not significant,False
space,2024,117,421,47798,336443,2.4478,1.2513,36.085,+,p < 0.0001,True
spatial,2024,49,431,47798,336443,1.0251,1.281,2.318,-,not significant,False
state,2024,99,500,47798,336443,2.0712,1.4861,8.448,+,p < 0.01,True
strategies,2024,61,597,47798,336443,1.2762,1.7744,6.577,-,p < 0.05,True
study,2024,75,531,47798,336443,1.5691,1.5783,0.002,-,not significant,False
sustainability,2024,54,703,47798,336443,1.1298,2.0895,22.664,-,p < 0.0001,True
sustainable,2024,123,809,47798,336443,2.5733,2.4046,0.483,+,not significant,False
systems,2024,146,1057,47798,336443,3.0545,3.1417,0.102,-,not significant,False
technology,2024,58,517,47798,336443,1.2134,1.5367,3.097,-,not significant,False
texas,2024,61,356,47798,336443,1.2762,1.0581,1.749,+,not significant,False
time,2024,68,498,47798,336443,1.4227,1.4802,0.095,-,not significant,False
understanding,2024,84,441,47798,336443,1.7574,1.3108,5.673,+,p < 0.05,True
urban,2024,232,1712,47798,336443,4.8538,5.0885,0.461,-,not significant,False
water,2024,66,540,47798,336443,1.3808,1.605,1.385,-,not significant,False
work,2024,213,1529,47798,336443,4.4563,4.5446,0.072,-,not significant,False
world,2024,115,557,47798,336443,2.406,1.6556,12.256,+,p < 0.001,True
year,2024,73,430,47798,336443,1.5273,1.2781,1.898,+,not significant,False
years,2024,50,395,47798,336443,1.0461,1.174,0.609,-,not significant,False
address,2025,47,367,37383,346858,1.2573,1.0581,1.186,+,not significant,False
american,2025,26,570,37383,346858,0.6955,1.6433,24.127,-,p < 0.0001,True
analysis,2025,81,533,37383,346858,2.1668,1.5367,7.629,+,p < 0.01,True
approach,2025,65,390,37383,346858,1.7388,1.1244,9.538,+,p < 0.01,True
architect,2025,44,472,37383,346858,1.177,1.3608,0.882,-,not significant,False
architects,2025,58,598,37383,346858,1.5515,1.724,0.605,-,not significant,False
architectural,2025,147,1769,37383,346858,3.9323,5.1001,9.881,-,p < 0.01,True
architecture,2025,515,5936,37383,346858,13.7763,17.1136,23.703,-,p < 0.0001,True
art,2025,25,386,37383,346858,0.6688,1.1128,7.087,-,p < 0.01,True
assistant,2025,43,503,37383,346858,1.1503,1.4502,2.27,-,not significant,False
associate,2025,48,459,37383,346858,1.284,1.3233,0.04,-,not significant,False
building,2025,113,1693,37383,346858,3.0228,4.881,28.032,-,p < 0.0001,True
buildings,2025,37,539,37383,346858,0.9898,1.554,8.047,-,p < 0.01,True
built,2025,64,771,37383,346858,1.712,2.2228,4.339,-,p < 0.05,True
carbon,2025,80,589,37383,346858,2.14,1.6981,3.553,+,not significant,False
center,2025,42,823,37383,346858,1.1235,2.3727,28.168,-,p < 0.0001,True
challenges,2025,81,465,37383,346858,2.1668,1.3406,14.194,+,p < 0.001,True
change,2025,183,2023,37383,346858,4.8953,5.8324,5.406,-,p < 0.05,True
cities,2025,61,528,37383,346858,1.6318,1.5222,0.259,+,not significant,False
city,2025,96,963,37383,346858,2.568,2.7764,0.543,-,not significant,False
climate,2025,401,3450,37383,346858,10.7268,9.9464,2.009,+,not significant,False
communities,2025,73,527,37383,346858,1.9528,1.5194,3.79,+,not significant,False
community,2025,169,1147,37383,346858,4.5208,3.3068,13.327,+,p < 0.001,True
conditions,2025,43,399,37383,346858,1.1503,1.1503,0.0,-,not significant,False
construction,2025,53,663,37383,346858,1.4178,1.9114,4.772,-,p < 0.05,True
context,2025,56,432,37383,346858,1.498,1.2455,1.612,+,not significant,False
critical,2025,72,583,37383,346858,1.926,1.6808,1.147,+,not significant,False
cultural,2025,66,626,37383,346858,1.7655,1.8048,0.029,-,not significant,False
current,2025,36,362,37383,346858,0.963,1.0437,0.217,-,not significant,False
data,2025,49,407,37383,346858,1.3108,1.1734,0.521,+,not significant,False
design,2025,653,6162,37383,346858,17.4678,17.7652,0.169,-,not significant,False
develop,2025,62,617,37383,346858,1.6585,1.7788,0.282,-,not significant,False
development,2025,202,1792,37383,346858,5.4035,5.1664,0.361,+,not significant,False
ecological,2025,65,557,37383,346858,1.7388,1.6058,0.36,+,not significant,False
economic,2025,55,386,37383,346858,1.4713,1.1128,3.499,+,not significant,False
energy,2025,101,1093,37383,346858,2.7018,3.1511,2.284,-,not significant,False
environment,2025,93,1053,37383,346858,2.4878,3.0358,3.582,-,not significant,False
environmental,2025,226,1910,37383,346858,6.0455,5.5066,1.719,+,not significant,False
experience,2025,59,489,37383,346858,1.5783,1.4098,0.651,+,not significant,False
future,2025,94,770,37383,346858,2.5145,2.2199,1.259,+,not significant,False
global,2025,87,674,37383,346858,2.3273,1.9432,2.393,+,not significant,False
health,2025,40,415,37383,346858,1.07,1.1965,0.469,-,not significant,False
history,2025,44,578,37383,346858,1.177,1.6664,5.465,-,p < 0.05,True
housing,2025,52,485,37383,346858,1.391,1.3983,0.001,-,not significant,False
human,2025,47,585,37383,346858,1.2573,1.6866,4.083,-,p < 0.05,True
impact,2025,56,500,37383,346858,1.498,1.4415,0.074,+,not significant,False
include,2025,55,369,37383,346858,1.4713,1.0638,4.644,+,p < 0.05,True
including,2025,63,552,37383,346858,1.6853,1.5914,0.183,+,not significant,False
infrastructure,2025,59,676,37383,346858,1.5783,1.9489,2.562,-,not significant,False
issues,2025,44,527,37383,346858,1.177,1.5194,2.846,-,not significant,False
justice,2025,100,528,37383,346858,2.675,1.5222,23.466,+,p < 0.0001,True
knowledge,2025,43,468,37383,346858,1.1503,1.3493,1.048,-,not significant,False
landscape,2025,89,676,37383,346858,2.3808,1.9489,2.993,+,not significant,False
learning,2025,67,522,37383,346858,1.7923,1.5049,1.733,+,not significant,False
level,2025,20,383,37383,346858,0.535,1.1042,12.487,-,p < 0.001,True
life,2025,62,378,37383,346858,1.6585,1.0898,8.49,+,p < 0.01,True
local,2025,50,508,37383,346858,1.3375,1.4646,0.384,-,not significant,False
master,2025,44,401,37383,346858,1.177,1.1561,0.013,+,not significant,False
material,2025,99,1067,37383,346858,2.6483,3.0762,2.119,-,not significant,False
materials,2025,72,670,37383,346858,1.926,1.9316,0.001,-,not significant,False
methods,2025,40,403,37383,346858,1.07,1.1619,0.252,-,not significant,False
module,2025,34,390,37383,346858,0.9095,1.1244,1.493,-,not significant,False
national,2025,30,373,37383,346858,0.8025,1.0754,2.586,-,not significant,False
natural,2025,35,405,37383,346858,0.9363,1.1676,1.672,-,not significant,False
nature,2025,17,382,37383,346858,0.4548,1.1013,16.86,-,p < 0.0001,True
performance,2025,25,470,37383,346858,0.6688,1.355,14.716,-,p < 0.001,True
plan,2025,62,369,37383,346858,1.6585,1.0638,9.412,+,p < 0.01,True
planning,2025,98,662,37383,346858,2.6215,1.9086,7.949,+,p < 0.01,True
practice,2025,74,786,37383,346858,1.9795,2.2661,1.283,-,not significant,False
practices,2025,46,397,37383,346858,1.2305,1.1446,0.212,+,not significant,False
process,2025,48,383,37383,346858,1.284,1.1042,0.934,+,not significant,False
professional,2025,64,439,37383,346858,1.712,1.2656,4.728,+,p < 0.05,True
project,2025,126,1110,37383,346858,3.3705,3.2002,0.3,+,not significant,False
projects,2025,98,739,37383,346858,2.6215,2.1306,3.529,+,not significant,False
public,2025,68,804,37383,346858,1.819,2.318,3.945,-,p < 0.05,True
resilience,2025,87,365,37383,346858,2.3273,1.0523,37.373,+,p < 0.0001,True
resources,2025,48,413,37383,346858,1.284,1.1907,0.24,+,not significant,False
scale,2025,42,500,37383,346858,1.1235,1.4415,2.583,-,not significant,False
science,2025,44,479,37383,346858,1.177,1.381,1.076,-,not significant,False
site,2025,65,808,37383,346858,1.7388,2.3295,5.595,-,p < 0.05,True
social,2025,169,1134,37383,346858,4.5208,3.2693,14.258,+,p < 0.001,True
society,2025,68,634,37383,346858,1.819,1.8278,0.001,-,not significant,False
space,2025,51,487,37383,346858,1.3643,1.404,0.038,-,not significant,False
spatial,2025,41,439,37383,346858,1.0968,1.2656,0.8,-,not significant,False
state,2025,65,534,37383,346858,1.7388,1.5395,0.831,+,not significant,False
strategies,2025,77,581,37383,346858,2.0598,1.675,2.757,+,not significant,False
study,2025,61,545,37383,346858,1.6318,1.5712,0.078,+,not significant,False
sustainability,2025,102,655,37383,346858,2.7285,1.8884,10.926,+,p < 0.001,True
sustainable,2025,122,810,37383,346858,3.2635,2.3352,10.936,+,p < 0.001,True
systems,2025,73,1130,37383,346858,1.9528,3.2578,20.923,-,p < 0.0001,True
technology,2025,52,523,37383,346858,1.391,1.5078,0.314,-,not significant,False
texas,2025,68,349,37383,346858,1.819,1.0062,17.43,+,p < 0.0001,True
time,2025,41,525,37383,346858,1.0968,1.5136,4.329,-,p < 0.05,True
understanding,2025,54,471,37383,346858,1.4445,1.3579,0.182,+,not significant,False
urban,2025,273,1671,37383,346858,7.3028,4.8175,36.733,+,p < 0.0001,True
water,2025,48,558,37383,346858,1.284,1.6087,2.394,-,not significant,False
work,2025,157,1585,37383,346858,4.1998,4.5696,1.041,-,not significant,False
world,2025,51,621,37383,346858,1.3643,1.7904,3.762,-,not significant,False
year,2025,57,446,37383,346858,1.5248,1.2858,1.405,+,not significant,False
years,2025,37,408,37383,346858,0.9898,1.1763,1.061,-,not significant,False
address,2026,58,356,72440,311801,0.8007,1.1418,6.833,-,p < 0.01,True
american,2026,56,540,72440,311801,0.7731,1.7319,41.058,-,p < 0.0001,True
analysis,2026,163,451,72440,311801,2.2501,1.4464,21.719,+,p < 0.0001,True
approach,2026,65,390,72440,311801,0.8973,1.2508,6.646,-,p < 0.01,True
architect,2026,81,435,72440,311801,1.1182,1.3951,3.516,-,not significant,False
architects,2026,95,561,72440,311801,1.3114,1.7992,8.749,-,p < 0.01,True
architectural,2026,624,1292,72440,311801,8.614,4.1437,203.829,+,p < 0.0001,True
architecture,2026,1139,5312,72440,311801,15.7234,17.0365,6.139,-,p < 0.05,True
art,2026,43,368,72440,311801,0.5936,1.1802,21.775,-,p < 0.0001,True
assistant,2026,101,445,72440,311801,1.3943,1.4272,0.045,-,not significant,False
associate,2026,87,420,72440,311801,1.201,1.347,0.973,-,not significant,False
building,2026,406,1400,72440,311801,5.6046,4.49,14.843,+,p < 0.001,True
buildings,2026,113,463,72440,311801,1.5599,1.4849,0.218,+,not significant,False
built,2026,145,690,72440,311801,2.0017,2.2129,1.233,-,not significant,False
carbon,2026,152,517,72440,311801,2.0983,1.6581,6.232,+,p < 0.05,True
center,2026,128,737,72440,311801,1.767,2.3637,9.877,-,p < 0.01,True
challenges,2026,94,452,72440,311801,1.2976,1.4496,0.978,-,not significant,False
change,2026,286,1920,72440,311801,3.9481,6.1578,54.813,-,p < 0.0001,True
cities,2026,81,508,72440,311801,1.1182,1.6292,10.83,-,p < 0.01,True
city,2026,155,904,72440,311801,2.1397,2.8993,13.107,-,p < 0.001,True
climate,2026,814,3037,72440,311801,11.2369,9.7402,12.756,+,p < 0.001,True
communities,2026,115,485,72440,311801,1.5875,1.5555,0.038,+,not significant,False
community,2026,334,982,72440,311801,4.6107,3.1494,33.903,+,p < 0.0001,True
conditions,2026,130,312,72440,311801,1.7946,1.0006,28.645,+,p < 0.0001,True
construction,2026,183,533,72440,311801,2.5262,1.7094,19.433,+,p < 0.0001,True
context,2026,95,393,72440,311801,1.3114,1.2604,0.119,+,not significant,False
critical,2026,146,509,72440,311801,2.0155,1.6325,4.843,+,p < 0.05,True
cultural,2026,178,514,72440,311801,2.4572,1.6485,19.678,+,p < 0.0001,True
current,2026,48,350,72440,311801,0.6626,1.1225,13.383,-,p < 0.001,True
data,2026,105,351,72440,311801,1.4495,1.1257,4.929,+,p < 0.05,True
design,2026,1527,5288,72440,311801,21.0795,16.9595,53.791,+,p < 0.0001,True
develop,2026,118,561,72440,311801,1.6289,1.7992,0.985,-,not significant,False
development,2026,362,1632,72440,311801,4.9972,5.2341,0.642,-,not significant,False
ecological,2026,169,453,72440,311801,2.333,1.4528,25.551,+,p < 0.0001,True
economic,2026,54,387,72440,311801,0.7454,1.2412,13.985,-,p < 0.001,True
energy,2026,192,1002,72440,311801,2.6505,3.2136,6.244,-,p < 0.05,True
environment,2026,143,1003,72440,311801,1.974,3.2168,33.674,-,p < 0.0001,True
environmental,2026,542,1594,72440,311801,7.4821,5.1122,54.941,+,p < 0.0001,True
experience,2026,136,412,72440,311801,1.8774,1.3214,11.86,+,p < 0.001,True
future,2026,91,773,72440,311801,1.2562,2.4791,44.946,-,p < 0.0001,True
global,2026,106,655,72440,311801,1.4633,2.1007,12.999,-,p < 0.001,True
health,2026,95,360,72440,311801,1.3114,1.1546,1.189,+,not significant,False
history,2026,70,552,72440,311801,0.9663,1.7704,26.591,-,p < 0.0001,True
housing,2026,108,429,72440,311801,1.4909,1.3759,0.547,+,not significant,False
human,2026,96,536,72440,311801,1.3252,1.719,5.851,-,p < 0.05,True
impact,2026,94,462,72440,311801,1.2976,1.4817,1.415,-,not significant,False
include,2026,62,362,72440,311801,0.8559,1.161,5.284,-,p < 0.05,True
including,2026,160,455,72440,311801,2.2087,1.4593,18.958,+,p < 0.0001,True
infrastructure,2026,160,575,72440,311801,2.2087,1.8441,3.936,+,p < 0.05,True
issues,2026,30,541,72440,311801,0.4141,1.7351,90.979,-,p < 0.0001,True
justice,2026,113,515,72440,311801,1.5599,1.6517,0.307,-,not significant,False
knowledge,2026,106,405,72440,311801,1.4633,1.2989,1.165,+,not significant,False
landscape,2026,118,647,72440,311801,1.6289,2.075,6.179,-,p < 0.05,True
learning,2026,145,444,72440,311801,2.0017,1.424,11.935,+,p < 0.001,True
level,2026,76,327,72440,311801,1.0491,1.0487,0.0,+,not significant,False
life,2026,73,367,72440,311801,1.0077,1.177,1.52,-,not significant,False
local,2026,114,444,72440,311801,1.5737,1.424,0.889,+,not significant,False
master,2026,81,364,72440,311801,1.1182,1.1674,0.124,-,not significant,False
material,2026,405,761,72440,311801,5.5908,2.4407,163.476,+,p < 0.0001,True
materials,2026,180,562,72440,311801,2.4848,1.8024,13.271,+,p < 0.001,True
methods,2026,88,355,72440,311801,1.2148,1.1385,0.292,+,not significant,False
module,2026,87,337,72440,311801,1.201,1.0808,0.753,+,not significant,False
national,2026,76,327,72440,311801,1.0491,1.0487,0.0,+,not significant,False
natural,2026,44,396,72440,311801,0.6074,1.27,26.209,-,p < 0.0001,True
nature,2026,31,368,72440,311801,0.4279,1.1802,39.267,-,p < 0.0001,True
performance,2026,188,307,72440,311801,2.5953,0.9846,98.302,+,p < 0.0001,True
plan,2026,70,361,72440,311801,0.9663,1.1578,1.995,-,not significant,False
planning,2026,101,659,72440,311801,1.3943,2.1135,16.76,-,p < 0.0001,True
practice,2026,239,621,72440,311801,3.2993,1.9917,40.547,+,p < 0.0001,True
practices,2026,101,342,72440,311801,1.3943,1.0969,4.292,+,p < 0.05,True
process,2026,77,354,72440,311801,1.0629,1.1353,0.278,-,not significant,False
professional,2026,113,390,72440,311801,1.5599,1.2508,4.1,+,p < 0.05,True
project,2026,252,984,72440,311801,3.4787,3.1559,1.867,+,not significant,False
projects,2026,150,687,72440,311801,2.0707,2.2033,0.481,-,not significant,False
public,2026,245,627,72440,311801,3.3821,2.0109,43.844,+,p < 0.0001,True
resilience,2026,114,338,72440,311801,1.5737,1.084,11.104,+,p < 0.001,True
resources,2026,71,390,72440,311801,0.9801,1.2508,3.776,-,not significant,False
scale,2026,139,403,72440,311801,1.9188,1.2925,15.082,+,p < 0.001,True
science,2026,88,435,72440,311801,1.2148,1.3951,1.445,-,not significant,False
site,2026,198,675,72440,311801,2.7333,2.1648,7.968,+,p < 0.01,True
social,2026,266,1037,72440,311801,3.672,3.3258,2.035,+,not significant,False
society,2026,95,607,72440,311801,1.3114,1.9468,14.096,-,p < 0.001,True
space,2026,95,443,72440,311801,1.3114,1.4208,0.51,-,not significant,False
spatial,2026,154,326,72440,311801,2.1259,1.0455,47.711,+,p < 0.0001,True
state,2026,72,527,72440,311801,0.9939,1.6902,20.397,-,p < 0.0001,True
strategies,2026,171,487,72440,311801,2.3606,1.5619,20.129,+,p < 0.0001,True
study,2026,139,467,72440,311801,1.9188,1.4978,6.28,+,p < 0.05,True
sustainability,2026,145,612,72440,311801,2.0017,1.9628,0.045,+,not significant,False
sustainable,2026,109,823,72440,311801,1.5047,2.6395,35.044,-,p < 0.0001,True
systems,2026,348,855,72440,311801,4.804,2.7421,71.295,+,p < 0.0001,True
technology,2026,104,471,72440,311801,1.4357,1.5106,0.223,-,not significant,False
texas,2026,83,334,72440,311801,1.1458,1.0712,0.297,+,not significant,False
time,2026,98,468,72440,311801,1.3528,1.501,0.895,-,not significant,False
understanding,2026,73,452,72440,311801,1.0077,1.4496,9.06,-,p < 0.01,True
urban,2026,329,1615,72440,311801,4.5417,5.1796,4.859,-,p < 0.05,True
water,2026,105,501,72440,311801,1.4495,1.6068,0.942,-,not significant,False
work,2026,372,1370,72440,311801,5.1353,4.3938,6.902,+,p < 0.01,True
world,2026,72,600,72440,311801,0.9939,1.9243,33.32,-,p < 0.0001,True
year,2026,99,404,72440,311801,1.3666,1.2957,0.224,+,not significant,False
years,2026,75,370,72440,311801,1.0353,1.1867,1.196,-,not significant,False
